State Code,State,Year Code,Month Code,Deaths
46,South Dakota,2016,2016/07,10
47,Tennessee,1999,1999/01,41
47,Tennessee,1999,1999/02,32
47,Tennessee,1999,1999/03,42
47,Tennessee,1999,1999/04,40
47,Tennessee,1999,1999/05,53
47,Tennessee,1999,1999/06,39
47,Tennessee,1999,1999/07,52
47,Tennessee,1999,1999/08,45
47,Tennessee,1999,1999/09,41
47,Tennessee,1999,1999/10,47
47,Tennessee,1999,1999/11,35
47,Tennessee,1999,1999/12,36
47,Tennessee,2000,2000/01,46
47,Tennessee,2000,2000/02,34
47,Tennessee,2000,2000/03,48
47,Tennessee,2000,2000/04,48
47,Tennessee,2000,2000/05,48
47,Tennessee,2000,2000/06,63
47,Tennessee,2000,2000/07,29
47,Tennessee,2000,2000/08,46
47,Tennessee,2000,2000/09,31
47,Tennessee,2000,2000/10,47
47,Tennessee,2000,2000/11,31
47,Tennessee,2000,2000/12,34
47,Tennessee,2001,2001/01,55
47,Tennessee,2001,2001/02,42
47,Tennessee,2001,2001/03,42
47,Tennessee,2001,2001/04,43
47,Tennessee,2001,2001/05,51
47,Tennessee,2001,2001/06,31
47,Tennessee,2001,2001/07,42
47,Tennessee,2001,2001/08,32
47,Tennessee,2001,2001/09,37
47,Tennessee,2001,2001/10,36
47,Tennessee,2001,2001/11,30
47,Tennessee,2001,2001/12,41
47,Tennessee,2002,2002/01,39
47,Tennessee,2002,2002/02,43
47,Tennessee,2002,2002/03,36
47,Tennessee,2002,2002/04,47
47,Tennessee,2002,2002/05,45
47,Tennessee,2002,2002/06,36
47,Tennessee,2002,2002/07,46
47,Tennessee,2002,2002/08,58
47,Tennessee,2002,2002/09,44
47,Tennessee,2002,2002/10,47
47,Tennessee,2002,2002/11,37
47,Tennessee,2002,2002/12,45
47,Tennessee,2003,2003/01,49
47,Tennessee,2003,2003/02,36
47,Tennessee,2003,2003/03,36
47,Tennessee,2003,2003/04,40
47,Tennessee,2003,2003/05,34
47,Tennessee,2003,2003/06,47
47,Tennessee,2003,2003/07,47
47,Tennessee,2003,2003/08,45
47,Tennessee,2003,2003/09,37
47,Tennessee,2003,2003/10,44
47,Tennessee,2003,2003/11,44
47,Tennessee,2003,2003/12,36
47,Tennessee,2004,2004/01,46
47,Tennessee,2004,2004/02,42
47,Tennessee,2004,2004/03,45
47,Tennessee,2004,2004/04,46
47,Tennessee,2004,2004/05,41
47,Tennessee,2004,2004/06,42
47,Tennessee,2004,2004/07,44
47,Tennessee,2004,2004/08,42
47,Tennessee,2004,2004/09,45
47,Tennessee,2004,2004/10,44
47,Tennessee,2004,2004/11,43
47,Tennessee,2004,2004/12,47
47,Tennessee,2005,2005/01,35
47,Tennessee,2005,2005/02,36
47,Tennessee,2005,2005/03,52
47,Tennessee,2005,2005/04,45
47,Tennessee,2005,2005/05,51
47,Tennessee,2005,2005/06,40
47,Tennessee,2005,2005/07,41
47,Tennessee,2005,2005/08,39
47,Tennessee,2005,2005/09,58
47,Tennessee,2005,2005/10,56
47,Tennessee,2005,2005/11,45
47,Tennessee,2005,2005/12,55
47,Tennessee,2006,2006/01,50
47,Tennessee,2006,2006/02,39
47,Tennessee,2006,2006/03,59
47,Tennessee,2006,2006/04,49
47,Tennessee,2006,2006/05,53
47,Tennessee,2006,2006/06,48
47,Tennessee,2006,2006/07,46
47,Tennessee,2006,2006/08,50
47,Tennessee,2006,2006/09,51
47,Tennessee,2006,2006/10,48
47,Tennessee,2006,2006/11,43
47,Tennessee,2006,2006/12,33
47,Tennessee,2007,2007/01,71
47,Tennessee,2007,2007/02,43
47,Tennessee,2007,2007/03,38
47,Tennessee,2007,2007/04,37
47,Tennessee,2007,2007/05,61
47,Tennessee,2007,2007/06,44
47,Tennessee,2007,2007/07,37
47,Tennessee,2007,2007/08,35
47,Tennessee,2007,2007/09,53
47,Tennessee,2007,2007/10,43
47,Tennessee,2007,2007/11,47
47,Tennessee,2007,2007/12,36
47,Tennessee,2008,2008/01,50
47,Tennessee,2008,2008/02,52
47,Tennessee,2008,2008/03,53
47,Tennessee,2008,2008/04,44
47,Tennessee,2008,2008/05,54
47,Tennessee,2008,2008/06,46
47,Tennessee,2008,2008/07,58
47,Tennessee,2008,2008/08,69
47,Tennessee,2008,2008/09,48
47,Tennessee,2008,2008/10,45
47,Tennessee,2008,2008/11,48
47,Tennessee,2008,2008/12,43
47,Tennessee,2009,2009/01,60
47,Tennessee,2009,2009/02,51
47,Tennessee,2009,2009/03,51
47,Tennessee,2009,2009/04,46
47,Tennessee,2009,2009/05,47
47,Tennessee,2009,2009/06,46
47,Tennessee,2009,2009/07,49
47,Tennessee,2009,2009/08,43
47,Tennessee,2009,2009/09,49
47,Tennessee,2009,2009/10,48
47,Tennessee,2009,2009/11,41
47,Tennessee,2009,2009/12,44
47,Tennessee,2010,2010/01,47
47,Tennessee,2010,2010/02,47
47,Tennessee,2010,2010/03,52
47,Tennessee,2010,2010/04,57
47,Tennessee,2010,2010/05,58
47,Tennessee,2010,2010/06,49
47,Tennessee,2010,2010/07,55
47,Tennessee,2010,2010/08,49
47,Tennessee,2010,2010/09,46
47,Tennessee,2010,2010/10,42
47,Tennessee,2010,2010/11,36
47,Tennessee,2010,2010/12,47
47,Tennessee,2011,2011/01,49
47,Tennessee,2011,2011/02,35
47,Tennessee,2011,2011/03,48
47,Tennessee,2011,2011/04,63
47,Tennessee,2011,2011/05,66
47,Tennessee,2011,2011/06,56
47,Tennessee,2011,2011/07,47
47,Tennessee,2011,2011/08,33
47,Tennessee,2011,2011/09,40
47,Tennessee,2011,2011/10,52
